employee_id,name,role,department
CM_E001,Çağrı Alıcı 1,Çağrı Alıcı,Genel Çağrı
CM_E002,Teknik Destek 2,Teknik Destek,Teknik Operasyonlar
CM_E003,Çağrı Alıcı 3,Çağrı Alıcı,Genel Çağrı
CM_E004,Yönlendirici 4,Yönlendirici,Polis Yönlendirme
CM_E005,Vardiya Amiri 5,Vardiya Amiri,Yönetim
CM_E006,Yönlendirici 6,Yönlendirici,Sağlık Yönlendirme
CM_E007,Çağrı Alıcı 7,Çağrı Alıcı,Genel Çağrı
CM_E008,Çağrı Alıcı 8,Çağrı Alıcı,Genel Çağrı
CM_E009,Vardiya Amiri 9,Vardiya Amiri,Yönetim
CM_E010,Yönlendirici 10,Yönlendirici,Sağlık Yönlendirme
CM_E011,Çağrı Alıcı 11,Çağrı Alıcı,Genel Çağrı
CM_E012,Çağrı Alıcı 12,Çağrı Alıcı,Genel Çağrı
CM_E013,Yönlendirici 13,Yönlendirici,Polis Yönlendirme
CM_E014,Vardiya Amiri 14,Vardiya Amiri,Yönetim
CM_E015,Çağrı Alıcı 15,Çağrı Alıcı,Genel Çağrı
CM_E016,Yönlendirici 16,Yönlendirici,İtfaiye Yönlendirme
CM_E017,Teknik Destek 17,Teknik Destek,Teknik Operasyonlar
CM_E018,Çağrı Alıcı 18,Çağrı Alıcı,Genel Çağrı
CM_E019,Çağrı Alıcı 19,Çağrı Alıcı,Genel Çağrı
CM_E020,Çağrı Alıcı 20,Çağrı Alıcı,Genel Çağrı
CM_E021,Yönlendirici 21,Yönlendirici,Polis Yönlendirme
CM_E022,Yönlendirici 22,Yönlendirici,Polis Yönlendirme
CM_E023,Yönlendirici 23,Yönlendirici,İtfaiye Yönlendirme
CM_E024,Yönlendirici 24,Yönlendirici,İtfaiye Yönlendirme
CM_E025,Yönlendirici 25,Yönlendirici,Polis Yönlendirme
CM_E026,Yönlendirici 26,Yönlendirici,İtfaiye Yönlendirme
CM_E027,Yönlendirici 27,Yönlendirici,İtfaiye Yönlendirme
CM_E028,Vardiya Amiri 28,Vardiya Amiri,Yönetim
CM_E029,Çağrı Alıcı 29,Çağrı Alıcı,Genel Çağrı
CM_E030,Çağrı Alıcı 30,Çağrı Alıcı,Genel Çağrı
