employee_id,name,role,department
CM_E001,Canan Aydın,Vardiya Amiri,Yönetim
CM_E002,Mert Alp,Yönlendirici,Sağlık Yönlendirme
CM_E003,Ahmet Koç,Çağrı Alıcı,Genel Çağrı
CM_E004,Emre Güler,Çağrı Alıcı,Genel Çağrı
CM_E005,Eda Kılıç,Yönlendirici,Polis Yönlendirme
CM_E006,Zeynep Taş,Çağrı Alıcı,Genel Çağrı
CM_E007,Osman Bulut,Yönlendirici,Polis Yönlendirme
CM_E008,Deniz Yıldırım,Teknik Destek,Teknik Operasyonlar
CM_E009,Hatice Koç,Vardiya Amiri,Yönetim
CM_E010,Yasemin Yüksel,Vardiya Amiri,Yönetim
CM_E011,İsmail Kaya,Çağrı Alıcı,Genel Çağrı
CM_E012,Ayşe Yılmaz,Vardiya Amiri,Yönetim
CM_E013,Tuğba Tekin,Vardiya Amiri,Yönetim
CM_E014,Nalan Yüksel,Yönlendirici,Polis Yönlendirme
CM_E015,Gökhan Yılmaz,Çağrı Alıcı,Genel Çağrı
CM_E016,Hüseyin Avcı,Yönlendirici,Polis Yönlendirme
CM_E017,Merve Aslan,Çağrı Alıcı,Genel Çağrı
CM_E018,Hasan Şimşek,Çağrı Alıcı,Genel Çağrı
CM_E019,Deniz Şimşek,Vardiya Amiri,Yönetim
CM_E020,Hande Demir,Çağrı Alıcı,Genel Çağrı
CM_E021,Melek Kılıç,Çağrı Alıcı,Genel Çağrı
CM_E022,Yasin Yalçın,Yönlendirici,Sağlık Yönlendirme
CM_E023,Hüseyin Özdemir,Yönlendirici,İtfaiye Yönlendirme
CM_E024,Ali Yıldırım,Çağrı Alıcı,Genel Çağrı
CM_E025,Mert Polat,Çağrı Alıcı,Genel Çağrı
CM_E026,Hülya Erdoğan,Çağrı Alıcı,Genel Çağrı
CM_E027,Bahar Şimşek,Çağrı Alıcı,Genel Çağrı
CM_E028,Ali Özdemir,Çağrı Alıcı,Genel Çağrı
CM_E029,Gül Aksoy,Yönlendirici,İtfaiye Yönlendirme
CM_E030,Baran Akbaş,Çağrı Alıcı,Genel Çağrı
CM_E031,Zeynep Polat,Çağrı Alıcı,Genel Çağrı
CM_E032,Meltem Korkmaz,Teknik Destek,Teknik Operasyonlar
CM_E033,Ömer Yücel,Çağrı Alıcı,Genel Çağrı
CM_E034,Volkan Polat,Yönlendirici,Sağlık Yönlendirme
CM_E035,Ömer Yıldırım,Çağrı Alıcı,Genel Çağrı
CM_E036,Cihan Aktaş,Yönlendirici,Polis Yönlendirme
CM_E037,Kader Avcı,Vardiya Amiri,Yönetim
CM_E038,Ebru Arslan,Yönlendirici,Polis Yönlendirme
CM_E039,Volkan Taş,Yönlendirici,İtfaiye Yönlendirme
CM_E040,Cem Öztürk,Çağrı Alıcı,Genel Çağrı
CM_E041,Necati Korkmaz,Yönlendirici,İtfaiye Yönlendirme
CM_E042,Cihan Kara,Yönlendirici,İtfaiye Yönlendirme
CM_E043,Hüseyin Korkmaz,Çağrı Alıcı,Genel Çağrı
CM_E044,Nalan Özdemir,Yönlendirici,Polis Yönlendirme
CM_E045,Gamze Şimşek,Çağrı Alıcı,Genel Çağrı
CM_E046,Hülya Yılmaz,Teknik Destek,Teknik Operasyonlar
CM_E047,Zafer Kaya,Çağrı Alıcı,Genel Çağrı
CM_E048,Levent Bulut,Çağrı Alıcı,Genel Çağrı
CM_E049,İlknur Yılmaz,Çağrı Alıcı,Genel Çağrı
CM_E050,Gökhan Özdemir,Çağrı Alıcı,Genel Çağrı
CM_E051,Cem Yalçın,Çağrı Alıcı,Genel Çağrı
CM_E052,Melek Kurt,Yönlendirici,Polis Yönlendirme
CM_E053,Pınar Yılmaz,Vardiya Amiri,Yönetim
CM_E054,Ferhat Polat,Teknik Destek,Teknik Operasyonlar
CM_E055,Fatih Kaplan,Yönlendirici,Sağlık Yönlendirme
CM_E056,Tarık Aslan,Çağrı Alıcı,Genel Çağrı
CM_E057,Cihan Koç,Yönlendirici,Polis Yönlendirme
CM_E058,İlknur Yüksel,Yönlendirici,İtfaiye Yönlendirme
CM_E059,Lale Alp,Yönlendirici,Sağlık Yönlendirme
CM_E060,Burak Alp,Yönlendirici,Polis Yönlendirme
CM_E061,Hasan Öztürk,Çağrı Alıcı,Genel Çağrı
CM_E062,Lale Erdoğan,Yönlendirici,İtfaiye Yönlendirme
CM_E063,Cem Yalçın,Çağrı Alıcı,Genel Çağrı
CM_E064,Polat Erdoğan,Vardiya Amiri,Yönetim
CM_E065,Burak Çelik,Çağrı Alıcı,Genel Çağrı
CM_E066,Zeliha Çelik,Vardiya Amiri,Yönetim
CM_E067,Aslı Şahin,Çağrı Alıcı,Genel Çağrı
CM_E068,Ali Çelik,Çağrı Alıcı,Genel Çağrı
CM_E069,Ufuk Aksoy,Vardiya Amiri,Yönetim
CM_E070,Ümit Taş,Çağrı Alıcı,Genel Çağrı
CM_E071,Mehmet Yılmaz,Yönlendirici,Polis Yönlendirme
CM_E072,Alper Ateş,Vardiya Amiri,Yönetim
CM_E073,Zeynep Arslan,Çağrı Alıcı,Genel Çağrı
CM_E074,Serkan Polat,Teknik Destek,Teknik Operasyonlar
CM_E075,Gamze Korkmaz,Çağrı Alıcı,Genel Çağrı
CM_E076,Vildan Avcı,Yönlendirici,Sağlık Yönlendirme
CM_E077,Mert Yücel,Çağrı Alıcı,Genel Çağrı
CM_E078,Yasin Yıldız,Çağrı Alıcı,Genel Çağrı
CM_E079,Meltem Demir,Çağrı Alıcı,Genel Çağrı
CM_E080,Gül Ateş,Yönlendirici,Sağlık Yönlendirme
